SNo,X_1,X_2,result
0,-0.869144323,0.389309751,0
1,-0.993467351,-0.610590903,0
2,-0.834064315,0.239235576,0
3,-0.136471451,0.632002698,1
4,0.403886792,0.310784289,1
5,-0.569308793,-0.24668082,0
6,-0.109982188,0.93091718,1
7,0.288993689,-0.532689479,1
8,0.319782165,0.664581575,1
9,0.558685662,-0.621184853,1
10,0.886301919,-0.776697168,0
11,0.288675864,-1,0
12,0.497748411,0.344112271,1
13,0.126739566,0.966286559,1
14,-0.728260061,0.3310706,0
15,-0.314531738,0.716929037,1
16,0.118299011,-0.351444334,1
17,0.086098807,-0.529040218,0
18,0.163917113,0.825907983,1
19,0.34500817,-0.502749318,1
20,0.069620783,-0.64154501,0
21,0.709008961,0.031143285,1
22,-0.413035719,-0.465253503,0
23,-0.880943215,-0.601376059,0
24,0.372106373,0.124102769,1
25,-0.076604942,0.152875378,1
26,0.437066115,-0.583443302,1
27,0.807551618,-0.75983985,0
28,-0.089241139,-0.424228899,0
29,-0.749832248,0.007597657,0
30,-0.102167119,0.236472546,1
31,0.586540409,-0.225129525,1
32,-0.367938594,-0.047130977,0
33,-0.369732369,0.137594081,1
34,-0.708235287,0.188421243,0
35,-0.295495975,-0.366871707,0
36,-0.889444432,1,0
37,-0.021968234,0.473784028,1
38,0.282243055,-0.678606502,0
39,-0.88175793,0.307659576,0
40,0.543480455,-0.246924735,1
41,-0.383998999,-0.523833652,0
42,0.845648145,0.024391938,1
43,0.499517115,-0.70658991,0
44,-0.398331101,-0.554114793,0
45,-0.077990597,-0.371351054,0
46,0.351149897,0.167633553,1
47,0.941055269,0.644286095,1
48,-0.082279375,0.938458199,1
49,0.763136089,0.701956538,1
50,0.430032542,0.276176897,1
51,0.984080879,-0.109492545,1
52,0.733946624,-0.625368228,1
53,-0.871986437,-0.127149564,0
54,-0.420153265,-0.437458557,0
55,-0.440214282,-0.144358423,0
56,0.937444345,0.120857024,1
57,-0.927808154,0.904172506,0
58,0.26674731,0.149070075,1
59,0.196451675,0.401874377,1
60,0.299624935,0.615929864,1
61,-0.850154432,-0.519022376,0
62,-0.249093959,-0.746339689,0
63,-1,-0.443656794,0
64,-0.581205639,0.050207492,0
65,0.046368832,-0.692707692,0
66,-0.701909924,0.960910354,1
67,-0.45495188,-0.376559493,0
68,0.439628664,0.802145787,1
69,0.051695668,-0.109716286,1
70,-0.923633441,-0.627812448,0
71,-0.02591464,0.389514691,1
72,0.212218904,0.922601702,1
73,-0.128580089,0.244884056,1
74,-0.17493101,0.325845098,1
75,1,0.223621808,1
76,-0.506788461,0.695498653,1
77,-0.415232352,0.324421588,1
78,-0.128646865,-0.651213895,0
79,0.495443899,-0.645018466,0
80,0.687140253,0.148461214,1
81,0.856860539,-0.557876383,1
82,0.068108075,0.05428761,1
83,-0.220861125,-0.152991366,1
84,0.442127824,0.768280905,1
85,0.1010529,0.6110774,1
86,-0.655531081,0.413336093,0
87,0.301978143,0.752589125,1
88,0.39249745,0.934901621,1
89,-0.361058056,-0.116216981,0
90,0.835642656,0.363950553,1
91,0.731132679,0.667166224,1
92,-0.27121427,-0.854468471,0
93,0.273741847,0.589128894,1
94,0.713854404,-0.567720883,1
95,0.531634773,-0.479185022,1
96,-0.650192143,0.655302638,1
97,0.985298665,0.118332692,1
98,-0.275288959,0.005730174,1
99,0.281860078,0.726376256,1
